"id_order","date_order","hour_order","member_id","restaurant_id","total_order"
29947,"2020-06-01","11:00:00",2,14,129.62
29948,"2020-06-01","11:03:00",168,8,37.41
29949,"2020-06-01","11:04:00",67,22,186.62
29951,"2020-06-01","11:12:00",64,27,30.53
29952,"2020-06-01","11:21:00",21,12,69.14
29953,"2020-06-01","11:23:00",197,30,146.99
29955,"2020-06-01","11:24:00",45,16,78.38
29956,"2020-06-01","11:24:00",87,16,121.24
29957,"2020-06-01","11:25:00",74,10,280.28999999999996
29959,"2020-06-01","11:27:00",25,29,47.46
29960,"2020-06-01","11:28:00",143,7,113.24
29961,"2020-06-01","11:28:00",65,22,59.68000000000001
29963,"2020-06-01","11:36:00",136,1,32.43
29964,"2020-06-01","11:39:00",61,26,59.26
29965,"2020-06-01","11:43:00",151,29,46.64
29966,"2020-06-01","11:45:00",167,28,116.12
29967,"2020-06-01","11:47:00",173,8,129.13
29968,"2020-06-01","11:50:00",62,12,204.59
29969,"2020-06-01","11:55:00",152,4,139.2
29971,"2020-06-01","11:57:00",157,8,159.5
29972,"2020-06-01","11:58:00",163,10,291.19000000000005
29973,"2020-06-01","12:02:00",127,30,122.85
29974,"2020-06-01","12:06:00",100,16,149.31
29975,"2020-06-01","12:12:00",200,21,90.99000000000001
29976,"2020-06-01","12:17:00",165,5,198.06
29977,"2020-06-01","12:19:00",141,23,79.86
29978,"2020-06-01","12:20:00",95,22,45.06
29979,"2020-06-01","12:20:00",82,19,88.32
29980,"2020-06-01","12:23:00",9,4,145.72
29981,"2020-06-01","12:31:00",29,8,27.16
29982,"2020-06-01","12:32:00",45,2,33.76
29983,"2020-06-01","12:34:00",177,6,151.82999999999998
29984,"2020-06-01","12:35:00",131,18,41.0
29985,"2020-06-01","12:36:00",94,25,46.79
29986,"2020-06-01","12:37:00",176,27,126.10000000000001
29987,"2020-06-01","12:38:00",26,10,128.75
29988,"2020-06-01","12:38:00",192,13,116.19
29989,"2020-06-01","12:38:00",133,17,29.02
29990,"2020-06-01","12:41:00",116,6,70.35
29991,"2020-06-01","12:43:00",2,27,218.57
29993,"2020-06-01","12:46:00",133,21,98.41999999999999
29994,"2020-06-01","12:46:00",196,27,137.64
29995,"2020-06-01","12:49:00",53,1,60.18
29996,"2020-06-01","12:50:00",194,1,123.38
29997,"2020-06-01","12:50:00",197,12,134.23
29998,"2020-06-01","12:51:00",172,22,84.44
29999,"2020-06-01","12:54:00",154,5,40.47
30000,"2020-06-01","12:54:00",170,28,106.27
30001,"2020-06-01","12:58:00",80,19,118.98
30002,"2020-06-01","13:13:00",179,4,64.13
30003,"2020-06-01","13:14:00",166,9,99.0
30004,"2020-06-01","13:14:00",148,10,141.8
30005,"2020-06-01","13:23:00",166,13,200.28
30006,"2020-06-01","13:23:00",77,8,164.64000000000001
