"id_order","date_order","hour_order","member_id","restaurant_id","total_order"
3,"2020-01-01","11:10:00",62,16,39.0
5,"2020-01-01","11:13:00",152,30,153.0
6,"2020-01-01","11:13:00",166,25,120.32999999999998
7,"2020-01-01","11:18:00",25,21,158.85999999999999
8,"2020-01-01","11:19:00",95,1,95.96000000000001
10,"2020-01-01","11:20:00",149,19,248.11
11,"2020-01-01","11:25:00",28,24,131.57
13,"2020-01-01","11:30:00",46,7,32.94
14,"2020-01-01","11:30:00",200,17,131.63
15,"2020-01-01","11:32:00",158,7,72.59
16,"2020-01-01","11:33:00",39,16,194.17000000000004
18,"2020-01-01","11:37:00",131,18,71.16
20,"2020-01-01","11:38:00",127,18,97.5
21,"2020-01-01","11:40:00",124,13,171.26999999999998
22,"2020-01-01","11:48:00",77,8,100.08
23,"2020-01-01","11:49:00",23,29,141.31
25,"2020-01-01","11:52:00",77,25,67.28
26,"2020-01-01","11:52:00",159,18,121.24000000000001
27,"2020-01-01","11:53:00",46,11,244.5
28,"2020-01-01","11:56:00",49,28,33.92
29,"2020-01-01","11:59:00",29,15,92.25
31,"2020-01-01","12:05:00",61,28,95.06
33,"2020-01-01","12:06:00",96,8,100.08
34,"2020-01-01","12:06:00",44,4,39.06
35,"2020-01-01","12:08:00",131,9,124.36
36,"2020-01-01","12:09:00",103,19,69.41
37,"2020-01-01","12:14:00",183,23,66.05
38,"2020-01-01","12:17:00",167,5,40.59
39,"2020-01-01","12:19:00",42,21,147.7
40,"2020-01-01","12:20:00",69,12,121.69999999999999
41,"2020-01-01","12:20:00",172,7,60.06999999999999
42,"2020-01-01","12:20:00",152,23,65.23
43,"2020-01-01","12:22:00",181,19,123.57
46,"2020-01-01","12:27:00",167,20,96.84
47,"2020-01-01","12:31:00",71,18,302.13
48,"2020-01-01","12:36:00",195,13,39.91
49,"2020-01-01","12:44:00",147,15,64.95
50,"2020-01-01","12:44:00",193,26,59.26
52,"2020-01-01","12:55:00",34,18,134.05
54,"2020-01-01","12:57:00",133,29,135.87
55,"2020-01-01","12:57:00",136,9,172.42000000000002
56,"2020-01-01","12:58:00",109,6,111.82
58,"2020-01-01","12:59:00",164,8,89.43
59,"2020-01-01","13:00:00",37,29,62.57
60,"2020-01-01","13:03:00",31,1,188.99
62,"2020-01-01","13:09:00",59,26,173.13
63,"2020-01-01","13:10:00",154,29,23.32
65,"2020-01-01","13:20:00",30,14,126.57
66,"2020-01-01","13:22:00",120,19,167.09000000000003
67,"2020-01-01","13:27:00",104,28,70.63
68,"2020-01-01","13:30:00",135,29,127.9
69,"2020-01-01","13:31:00",119,16,76.35
70,"2020-01-01","13:35:00",194,26,48.23
71,"2020-01-01","13:38:00",187,16,39.23
72,"2020-01-01","13:38:00",34,13,140.73
73,"2020-01-01","13:38:00",82,13,39.91
74,"2020-01-01","13:40:00",159,21,64.13
75,"2020-01-01","13:44:00",18,11,52.26
76,"2020-01-01","13:49:00",97,3,118.25
77,"2020-01-01","13:49:00",1,17,53.37
78,"2020-01-01","13:50:00",150,15,61.050000000000004
79,"2020-01-01","13:52:00",149,1,215.31
80,"2020-01-01","13:55:00",99,18,131.88
82,"2020-01-01","14:13:00",13,25,167.90999999999997
83,"2020-01-01","14:41:00",29,3,124.58999999999999
84,"2020-01-01","15:34:00",62,7,76.32
85,"2020-01-01","15:40:00",82,8,101.00999999999999
87,"2020-01-01","16:25:00",66,4,141.85000000000002
88,"2020-01-01","16:57:00",181,2,156.76
89,"2020-01-01","16:58:00",39,30,72.47
90,"2020-01-01","17:14:00",53,15,74.06
91,"2020-01-01","17:34:00",82,5,172.48
92,"2020-01-01","17:43:00",46,3,134.33999999999997
93,"2020-01-01","18:06:00",43,1,173.52
94,"2020-01-01","18:14:00",120,4,117.02
95,"2020-01-01","18:17:00",32,30,48.03
96,"2020-01-01","18:24:00",45,3,21.26
97,"2020-01-01","18:31:00",89,15,99.09
98,"2020-01-01","18:37:00",74,25,110.75999999999999
99,"2020-01-01","18:48:00",119,4,20.14
101,"2020-01-01","19:02:00",81,13,154.98999999999998
102,"2020-01-01","19:03:00",128,10,164.66000000000003
103,"2020-01-01","19:03:00",123,2,155.56
105,"2020-01-01","19:09:00",129,27,229.32999999999998
106,"2020-01-01","19:10:00",137,5,160.57999999999998
107,"2020-01-01","19:11:00",54,24,43.71
108,"2020-01-01","19:12:00",151,24,43.71
109,"2020-01-01","19:20:00",86,9,75.82
110,"2020-01-01","19:22:00",105,16,126.02999999999999
111,"2020-01-01","19:27:00",143,5,72.77000000000001
113,"2020-01-01","19:28:00",134,20,189.43
114,"2020-01-01","19:30:00",96,9,54.81
115,"2020-01-01","19:30:00",148,21,184.53999999999996
116,"2020-01-01","19:32:00",10,7,39.08
117,"2020-01-01","19:34:00",82,23,90.86
118,"2020-01-01","19:35:00",152,3,46.03
119,"2020-01-01","19:39:00",184,11,164.47000000000003
120,"2020-01-01","19:40:00",193,13,206.27999999999997
122,"2020-01-01","19:45:00",190,25,64.43
123,"2020-01-01","19:46:00",14,8,143.11
125,"2020-01-01","19:47:00",104,19,54.48
126,"2020-01-01","19:48:00",176,5,31.07
127,"2020-01-01","19:49:00",135,23,31.82
128,"2020-01-01","19:52:00",190,22,144.26
129,"2020-01-01","19:56:00",65,21,120.5
131,"2020-01-01","19:56:00",97,23,135.85
132,"2020-01-01","19:56:00",120,22,50.34
133,"2020-01-01","19:57:00",131,25,169.51999999999998
134,"2020-01-01","20:05:00",123,10,123.95
135,"2020-01-01","20:05:00",27,2,138.17000000000002
137,"2020-01-01","20:07:00",11,19,69.41
138,"2020-01-01","20:09:00",14,11,43.96
139,"2020-01-01","20:12:00",54,3,89.67999999999999
140,"2020-01-01","20:13:00",63,5,146.37
141,"2020-01-01","20:16:00",147,1,208.98000000000002
143,"2020-01-01","20:22:00",33,29,155.22
144,"2020-01-01","20:24:00",10,16,32.18
145,"2020-01-01","20:25:00",127,20,311.22999999999996
146,"2020-01-01","20:29:00",99,3,34.89
147,"2020-01-01","20:31:00",59,28,32.91
148,"2020-01-01","20:35:00",190,26,66.85
149,"2020-01-01","20:42:00",193,20,131.08
150,"2020-01-01","20:44:00",18,13,39.87
151,"2020-01-01","20:48:00",169,11,66.7
152,"2020-01-01","20:51:00",137,22,66.05
154,"2020-01-01","20:54:00",162,28,36.71
156,"2020-01-01","20:55:00",96,12,93.61
158,"2020-01-01","20:57:00",32,13,119.28
161,"2020-01-01","21:05:00",199,15,40.0
162,"2020-01-01","21:10:00",86,30,48.03
163,"2020-01-01","21:13:00",109,15,59.050000000000004
164,"2020-01-01","21:13:00",57,19,215.32999999999998
165,"2020-01-01","21:13:00",98,21,33.08
166,"2020-01-01","21:16:00",117,27,46.8
167,"2020-01-01","21:17:00",180,14,30.8
168,"2020-01-01","21:22:00",73,27,231.08
169,"2020-01-01","21:24:00",133,10,23.58
170,"2020-01-01","21:25:00",200,30,184.25
172,"2020-01-01","21:27:00",47,1,156.22
173,"2020-01-01","21:28:00",133,14,121.42
174,"2020-01-01","21:30:00",16,29,81.65
175,"2020-01-01","21:30:00",95,27,99.99
176,"2020-01-01","21:31:00",170,28,88.0
177,"2020-01-01","21:32:00",36,3,166.45
178,"2020-01-01","21:34:00",174,30,180.45
179,"2020-01-01","21:47:00",118,21,178.51
180,"2020-01-01","21:55:00",167,14,27.42
181,"2020-01-01","21:55:00",127,18,46.06
182,"2020-01-01","21:56:00",164,14,32.65
183,"2020-01-01","22:03:00",193,11,80.92
185,"2020-01-01","22:16:00",158,20,136.83
186,"2020-01-01","22:29:00",62,6,205.34000000000003
187,"2020-01-01","22:42:00",101,13,99.14
188,"2020-01-01","22:48:00",28,9,34.9
189,"2020-01-01","23:16:00",180,2,104.03
190,"2020-01-01","23:18:00",155,7,108.0
191,"2020-01-01","23:35:00",30,22,33.09
192,"2020-01-02","11:01:00",177,8,52.02
193,"2020-01-02","11:02:00",103,22,173.52
194,"2020-01-02","11:03:00",21,23,129.42
195,"2020-01-02","11:06:00",106,29,118.72999999999999
197,"2020-01-02","11:15:00",62,16,149.32
198,"2020-01-02","11:16:00",115,5,58.71
199,"2020-01-02","11:19:00",179,20,74.62
200,"2020-01-02","11:20:00",28,22,124.97
201,"2020-01-02","11:27:00",40,20,144.95
202,"2020-01-02","11:30:00",128,9,104.31
204,"2020-01-02","11:38:00",174,29,46.64
205,"2020-01-02","11:39:00",199,8,128.5
206,"2020-01-02","11:49:00",137,17,66.93
207,"2020-01-02","11:50:00",173,2,132.47
210,"2020-01-02","11:55:00",53,13,128.42
211,"2020-01-02","12:00:00",145,21,34.29
212,"2020-01-02","12:01:00",42,1,32.08
213,"2020-01-02","12:01:00",72,19,32.07
214,"2020-01-02","12:05:00",45,6,23.41
216,"2020-01-02","12:06:00",32,16,163.81
217,"2020-01-02","12:13:00",185,28,40.98
218,"2020-01-02","12:14:00",200,24,66.41
219,"2020-01-02","12:16:00",105,28,24.43
220,"2020-01-02","12:16:00",22,25,128.86
221,"2020-01-02","12:17:00",85,13,140.49
222,"2020-01-02","12:17:00",147,4,39.06
223,"2020-01-02","12:19:00",100,21,64.13
224,"2020-01-02","12:19:00",170,10,68.68
225,"2020-01-02","12:21:00",167,19,38.96
226,"2020-01-02","12:24:00",101,23,116.66999999999999
228,"2020-01-02","12:29:00",128,30,124.22
229,"2020-01-02","12:30:00",13,5,40.59
230,"2020-01-02","12:37:00",142,5,138.32999999999998
231,"2020-01-02","12:44:00",114,27,46.8
232,"2020-01-02","12:47:00",65,21,54.01
233,"2020-01-02","12:53:00",51,15,36.7
234,"2020-01-02","12:53:00",102,10,94.13
235,"2020-01-02","12:54:00",186,26,196.34
238,"2020-01-02","12:58:00",80,16,234.10999999999999
